,Time,Sentiment,Price
605,20160318,0.263218845,409.5
606,20160317,0.294094122,415.6
607,20160316,0.294094122,417.8
608,20160315,0.294094122,414.2
609,20160314,0.294094122,414.8
610,20160313,0.167586836,414.8
611,20160312,0.167586836,413.5
612,20160311,0.167586836,416.4
613,20160310,0.470822255,418.8
614,20160309,0.470822255,411.5
615,20160308,0.470822255,409.9
616,20160307,0.277635776,414
617,20160306,0.277635776,404.8
618,20160305,0.306049789,399.1
619,20160304,0.306049789,397.5
620,20160303,0.306049789,421.7
621,20160302,0.34289601,415.4
622,20160301,0.34289601,432.8
623,20160229,0.34289601,433.3
624,20160228,0.456150843,434.6
625,20160226,0.456150843,426.6
626,20160225,0.456150843,423.9
627,20160224,0.283523624,424
628,20160223,0.283523624,421.4
629,20160222,0.291000207,434.5
630,20160221,0.291000207,438.8
631,20160220,0.291000207,439.2
632,20160219,0.217717825,425.9
633,20160218,0.217717825,417.7
634,20160217,0.321268295,418.4
635,20160216,0.321268295,411.9
636,20160215,0.321268295,400.9
637,20160214,0.308635212,406.8
638,20160213,0.304901668,397.7
639,20160212,0.260141771,389
640,20160211,0.306487549,379.2
